kode,prop,jk,jumlah,timezone
11,ACEH,L,2647563,WIB
12,SUMATERA UTARA,L,7422046,WIB
13,SUMATERA BARAT,L,2786360,WIB
14,RIAU,L,3276658,WIB
15,JAMBI,L,1810015,WIB
16,SUMATERA SELATAN,L,4320078,WIB
17,BENGKULU,L,1029137,WIB
18,LAMPUNG,L,4616805,WIB
19,KEPULAUAN BANGKA BELITUNG,L,749548,WIB
21,KEPULAUAN RIAU,L,1053296,WIB
31,DKI JAKARTA,L,5334781,WIB
32,JAWA BARAT,L,24508885,WIB
33,JAWA TENGAH,L,18362143,WIB
34,DI YOGYAKARTA,L,1817927,WIB
35,JAWA TIMUR,L,20291592,WIB
36,BANTEN,L,6070271,WIB
51,BALI,L,2171105,WITA
52,NUSA TENGGARA BARAT,L,2656208,WITA
53,NUSA TENGGARA TIMUR,L,2663771,WITA
61,KALIMANTAN BARAT,L,2784113,WIB
62,KALIMANTAN TENGAH,L,1385705,WIB
63,KALIMANTAN SELATAN,L,2062383,WITA
64,KALIMANTAN TIMUR,L,1961634,WITA
65,KALIMANTAN UTARA,L,370650,WITA
71,SULAWESI UTARA,L,1341918,WITA
72,SULAWESI TENGAH,L,1534706,WITA
73,SULAWESI SELATAN,L,4504641,WITA
74,SULAWESI TENGGARA,L,1330594,WITA
75,GORONTALO,L,591349,WITA
76,SULAWESI BARAT,L,720187,WITA
81,MALUKU,L,936478,WIT
82,MALUKU UTARA,L,657411,WIT
91,PAPUA BARAT,L,597128,WIT
94,PAPUA,L,2294813,WIT
11,ACEH,P,2627308,WIB
12,SUMATERA UTARA,P,7377315,WIB
13,SUMATERA BARAT,P,2748112,WIB
14,RIAU,P,3117429,WIB
15,JAMBI,P,1738213,WIB
16,SUMATERA SELATAN,P,4147354,WIB
17,BENGKULU,P,981533,WIB
18,LAMPUNG,P,4391043,WIB
19,KEPULAUAN BANGKA BELITUNG,P,706130,WIB
21,KEPULAUAN RIAU,P,1011268,WIB
31,DKI JAKARTA,P,5227307,WIB
32,JAWA BARAT,P,23765277,WIB
33,JAWA TENGAH,P,18153892,WIB
34,DI YOGYAKARTA,P,1850792,WIB
35,JAWA TIMUR,P,20374104,WIB
36,BANTEN,P,5834291,WIB
51,BALI,P,2146299,WITA
52,NUSA TENGGARA BARAT,P,2663884,WITA
53,NUSA TENGGARA TIMUR,P,2661795,WITA
61,KALIMANTAN BARAT,P,2630277,WIB
62,KALIMANTAN TENGAH,P,1284264,WIB
63,KALIMANTAN SELATAN,P,2011201,WITA
64,KALIMANTAN TIMUR,P,1804405,WITA
65,KALIMANTAN UTARA,P,331164,WITA
71,SULAWESI UTARA,P,1280005,WITA
72,SULAWESI TENGAH,P,1451028,WITA
73,SULAWESI SELATAN,P,4568868,WITA
74,SULAWESI TENGGARA,P,1294281,WITA
75,GORONTALO,P,580332,WITA
76,SULAWESI BARAT,P,699042,WITA
81,MALUKU,P,912445,WIT
82,MALUKU UTARA,P,625526,WIT
91,PAPUA BARAT,P,536940,WIT
94,PAPUA,P,2008894,WIT
