hotel;arrival_date_year;arrival_date_month;arrival_date_week_number;arrival_date_day_of_month;stays_in_weekend_nights;stays_in_week_nights;adults;children;babies;meal;country;reserved_room_type;assigned_room_type;deposit_type;reservation_status;reservation_status_date;last_updated
Resort Hotel;2015;July;27;1;0;0;2;0;0;BB;PRT;C;C;No Deposit;Check-Out;01/07/2015;01/07/2015
Resort Hotel;2015;July;27;1;0;0;2;0;0;BB;PRT;C;C;No Deposit;Check-Out;01/07/2015;
Resort Hotel;2015;July;27;1;0;1;1;0;0;BB;GBR;A;C;No Deposit;Check-Out;02/07/2015;
City Hotel;;;;;2;2;2;0;0;BB;PRT;A;A;No Deposit;Canceled;;
City Hotel;;;;;2;2;2;0;0;BB;PRT;A;A;No Deposit;Canceled;;
City Hotel;2015;July;30;25;2;2;2;0;0;BB;ITA;A;A;No Deposit;Check-Out;29/07/2015;
City Hotel;2015;July;30;25;2;2;2;0;0;BB;PRT;A;A;No Deposit;Canceled;22/07/2015;
City Hotel;2015;July;30;25;2;2;2;0;0;BB;PRT;A;A;No Deposit;Canceled;22/07/2015;
Resort Hotel;2015;July;27;1;0;1;1;0;0;BB;GBR;A;A;No Deposit;Check-Out;02/07/2015;
Resort Hotel;2015;July;27;1;0;2;2;0;0;BB;GBR;A;A;No Deposit;Check-Out;03/07/2015;
Resort Hotel;2015;July;27;1;0;2;2;0;0;BB;GBR;A;A;No Deposit;Check-Out;03/07/2015;
City Hotel;;;;;2;2;2;0;0;BB;PRT;A;A;No Deposit;Canceled;;
City Hotel;;;;;2;2;2;0;0;BB;PRT;A;A;No Deposit;Canceled;;
Resort Hotel;2015;July;27;1;0;2;2;0;0;BB;PRT;C;C;No Deposit;Check-Out;03/07/2015;
Resort Hotel;2015;July;27;1;0;2;2;0;0;FB;PRT;C;C;No Deposit;Check-Out;03/07/2015;
Resort Hotel;2015;July;27;1;0;3;2;0;0;BB;PRT;A;A;No Deposit;Canceled;06/05/2015;
Resort Hotel;2015;July;27;1;0;3;2;0;0;HB;PRT;D;D;No Deposit;Canceled;22/04/2015;
Resort Hotel;2015;July;27;1;0;4;2;0;0;BB;PRT;E;E;No Deposit;Canceled;23/06/2015;
Resort Hotel;2015;July;27;1;0;4;2;0;0;BB;PRT;E;E;No Deposit;Check-Out;05/07/2015;
Resort Hotel;2015;July;27;1;0;1;2;0;0;BB;IRL;A;E;No Deposit;Check-Out;02/07/2015;
Resort Hotel;2015;July;27;1;0;1;2;0;0;BB;FRA;A;G;No Deposit;Check-Out;02/07/2015;
Resort Hotel;2015;July;27;1;0;4;2;0;0;BB;GBR;G;G;No Deposit;Check-Out;05/07/2015;
Resort Hotel;2015;July;27;1;1;4;1;0;0;BB;GBR;F;F;No Deposit;Check-Out;06/07/2015;
Resort Hotel;2015;July;27;1;2;4;2;0;0;BB;PRT;A;A;No Deposit;Check-Out;07/07/2015;
