prop;timezone
ACEH;WIB
BALI;WITA
BANTEN;WIB
BENGKULU;WIB
DI YOGYAKARTA;WIB
DKI JAKARTA;WIB
GORONTALO;WITA
JAMBI;WIB
JAWA BARAT;WIB
JAWA TENGAH;WIB
JAWA TIMUR;WIB
KALIMANTAN BARAT;WIB
KALIMANTAN SELATAN;WITA
KALIMANTAN TENGAH;WIB
KALIMANTAN TIMUR;WITA
KALIMANTAN UTARA;WITA
KEPULAUAN BANGKA BELITUNG;WIB
KEPULAUAN RIAU;WIB
LAMPUNG;WIB
MALUKU;WIT
MALUKU UTARA;WIT
NUSA TENGGARA BARAT;WITA
NUSA TENGGARA TIMUR;WITA
PAPUA;WIT
PAPUA BARAT;WIT
RIAU;WIB
SULAWESI BARAT;WITA
SULAWESI SELATAN;WITA
SULAWESI TENGAH;WITA
SULAWESI TENGGARA;WITA
SULAWESI UTARA;WITA
SUMATERA BARAT;WIB
SUMATERA SELATAN;WIB
SUMATERA UTARA;WIB
